"date","group","session","rel.time","subject","behav1","behav2","type","change","time_hh_min"
20190815,"BA",1,1942.537,"MTP_V_BA","R","dr","primary",FALSE,1432.37561666667
20190815,"BA",1,1948.07,"MTP_V_BA","R","op","primary",FALSE,1432.46783333333
20190815,"BA",1,1955.086,"MTP_V_BA","R","op","primary",FALSE,1432.58476666667
20190815,"BA",1,1957.809,"unmarked","R","op","primary",FALSE,1432.63015
20190815,"BA",1,1969.336,"ONP_V_BA","R","op","primary",FALSE,1432.82226666667
20190815,"BA",1,1980.286,"PTP_V_NB","R","op","primary",FALSE,1433.00476666667
20190815,"BA",1,2000.612,"ONP_V_BA","R","op","primary",FALSE,1433.34353333333
20190815,"BA",1,2029.483,"TMG_V_BA","R","op","primary",FALSE,1433.82471666667
20190815,"BA",1,2052.806,"BPG_V_BA","R","op","primary",FALSE,1434.21343333333
20190815,"BA",1,2055.555,"ONP_V_BA","R","op","primary",FALSE,1434.25925
20190815,"BA",1,2119.557,"BOM_V_BA","R","op","primary",FALSE,1435.32595
20190815,"BA",1,2121.474,"X118","R","op","primary",FALSE,1435.3579
20190815,"BA",1,2127.6,"OMN_V_BA","B","op","primary",FALSE,1435.46
20190815,"BA",1,2164.664,"PTP_V_NB","R","op","primary",FALSE,1436.07773333333
20190815,"BA",1,2187.789,"BPG_V_BA","R","op","primary",FALSE,1436.46315
20190815,"BA",1,2212.393,"MTP_V_BA","R","op","primary",FALSE,1436.87321666667
20190815,"BA",1,2236.072,"ONP_V_BA","R","op","primary",FALSE,1437.26786666667
20190815,"BA",1,2238.171,"OPV_V_BA","R","op","primary",FALSE,1437.30285
20190815,"BA",1,2329.271,"ONP_V_BA","R","op","primary",FALSE,1438.82118333333
20190815,"BA",1,2342.329,"BPG_V_BA","R","op","primary",FALSE,1439.03881666667
20190815,"BA",1,2409.795,"PTP_V_NB","B","op","primary",FALSE,1440.16325
20190815,"BA",1,2437.098,"OPV_V_BA","R","op","primary",FALSE,1440.6183
20190815,"BA",1,2441.673,"OMN_V_BA","B","op","primary",FALSE,1440.69455
20190815,"BA",1,2817.126,"BVB_V_BA","R","op","primary",FALSE,1446.9521
20190815,"BA",1,2887.975,"BVB_V_BA","R","op","primary",FALSE,1448.13291666667
20190815,"BA",1,2977.633,"ONP_V_BA","R","op","primary",FALSE,1449.62721666667
20190815,"BA",1,2991.388,"BMN_V_BA","R","op","primary",FALSE,1449.85646666667
20190815,"BA",1,3020.912,"BVB_V_BA","R","op","primary",FALSE,1450.34853333333
20190815,"BA",1,3052.24,"BMN_V_BA","R","op","primary",FALSE,1450.87066666667
20190815,"BA",1,3090.477,"BVB_V_BA","R","op","primary",FALSE,1451.50795
20190815,"BA",1,3178.892,"ONP_V_BA","B","op","primary",FALSE,1452.98153333333
20190815,"BA",1,3202.203,"ONP_V_BA","R","op","primary",FALSE,1453.37005
20190815,"BA",1,3219.213,"OMN_V_BA","R","op","primary",FALSE,1453.65355
20190815,"BA",1,3265.955,"BVB_V_BA","R","op","primary",FALSE,1454.43258333333
20190815,"BA",1,3272.014,"OPV_V_BA","R","op","primary",FALSE,1454.53356666667
20190815,"BA",1,3286.837,"ONP_V_BA","B","op","primary",FALSE,1454.78061666667
20190815,"BA",1,3323.27,"ONP_V_BA","R","op","primary",FALSE,1455.38783333333
20190815,"BA",1,3338.22,"BMN_V_BA","R","op","primary",FALSE,1455.637
20190815,"BA",1,3353.821,"TOP_V_BA","R","op","primary",FALSE,1455.89701666667
20190815,"BA",1,3369.782,"BVB_V_BA","R","op","primary",FALSE,1456.16303333333
20190815,"BA",1,3381.848,"TOP_V_BA","R","op","primary",FALSE,1456.36413333333
20190815,"BA",1,3382.687,"OP_V_BA","R","op","primary",FALSE,1456.37811666667
20190815,"BA",1,3397.742,"TOP_V_BA","R","op","primary",FALSE,1456.62903333333
20190815,"BA",1,3458.241,"OP_V_BA","R","op","primary",FALSE,1457.63735
20190815,"BA",1,3479.297,"TOP_V_BA","R","op","primary",FALSE,1457.98828333333
20190815,"BA",1,3484.518,"BVB_V_BA","R","op","primary",FALSE,1458.0753
20190815,"BA",1,3522.243,"TMG_V_BA","R","op","primary",FALSE,1458.70405
20190815,"BA",1,3559.766,"BGP_V_BA","R","op","primary",FALSE,1459.32943333333
20190815,"BA",1,3569.466,"X118","R","op","primary",FALSE,1459.4911
20190815,"BA",1,3575.234,"BVP_V_BA","R","op","primary",FALSE,1459.58723333333
20190815,"BA",1,3595.171,"TMG_V_BA","B","op","primary",FALSE,1459.91951666667
20190815,"BA",1,3615.191,"OVM_V_BA","R","op","primary",FALSE,1460.25318333333
20190815,"BA",1,3620.423,"BNO_V_BA","R","op","primary",FALSE,1460.34038333333
20190815,"BA",1,3623.846,"TOP_V_BA","B","op","primary",FALSE,1460.39743333333
20190815,"BA",1,3630.538,"OMN_V_BA","B","op","primary",FALSE,1460.50896666667
20190815,"BA",1,3643.702,"MVG_V_BA","R","op","primary",FALSE,1460.72836666667
20190815,"BA",1,3685.514,"MVG_V_BA","R","op","primary",FALSE,1461.42523333333
20190815,"BA",1,3685.852,"X118","B","op","primary",FALSE,1461.43086666667
20190815,"BA",1,3691.009,"TMG_V_BA","R","op","primary",FALSE,1461.51681666667
20190815,"BA",1,3736.819,"OPV_V_BA","R","op","primary",FALSE,1462.28031666667
20190815,"BA",1,3739.955,"OP_V_BA","R","op","primary",FALSE,1462.33258333333
20190815,"BA",1,3745.254,"MVG_V_BA","R","op","primary",FALSE,1462.4209
20190815,"BA",1,3750.475,"TOP_V_BA","B","op","primary",FALSE,1462.50791666667
20190815,"BA",1,3764.321,"OVM_V_BA","R","op","primary",FALSE,1462.73868333333
20190815,"BA",1,3792.399,"OP_V_BA","R","op","primary",FALSE,1463.20665
20190815,"BA",1,3795.822,"X118","R","op","primary",FALSE,1463.2637
20190815,"BA",1,3803.652,"TMG_V_BA","R","op","primary",FALSE,1463.3942
20190815,"BA",1,3807.776,"MVG_V_BA","R","op","primary",FALSE,1463.46293333333
20190815,"BA",1,3828.522,"TOP_V_BA","R","op","primary",FALSE,1463.8087
20190815,"BA",1,3838.434,"unmarked","B","op","primary",FALSE,1463.9739
20190815,"BA",1,3855.729,"OVM_V_BA","R","op","primary",FALSE,1464.26215
20190815,"BA",1,3858.274,"MVG_V_BA","R","op","primary",FALSE,1464.30456666667
20190815,"BA",1,3862.477,"BMN_V_BA","R","op","primary",FALSE,1464.37461666667
20190815,"BA",1,3885.25,"X118","R","op","primary",FALSE,1464.75416666667
20190815,"BA",1,3892.927,"TMG_V_BA","R","op","primary",FALSE,1464.88211666667
20190815,"BA",1,3895.531,"BPG_V_BA","R","op","primary",FALSE,1464.92551666667
20190815,"BA",1,3913.468,"BNO_V_BA","R","op","primary",FALSE,1465.22446666667
20190815,"BA",1,3943.03,"OVM_V_BA","R","op","primary",FALSE,1465.71716666667
