"","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout","sex_index","age_index","s_male_red","s_male_blue","s_adult_red","s_adult_blue","rank_index","roost","s_roost_red","s_roost_blue"
"101",20190815,1,"BPG_V_BA","1-RED",1287.207,5,"op","Rop","R","op","BA",1,0,1,23,0,0,101,21,0,"0","0",0,0,0,0,25,1,0,0
"102",20190815,1,"OMN_V_BA","1-RED",1290.145,4,"op","Rop","R","op","BA",1,0,1,63,0,0,102,61,0,"1","2",0,0,0,0,35,1,0,0
"103",20190815,1,"BPO_V_BA","1-RED",1302.829,4,"op","Rop","R","op","BA",1,0,1,24,0,0,103,22,0,"0","0",0,0,0,0,5,1,0,0
"104",20190815,1,"BNO_V_BA","1-RED",1334.506,5,"op","Rop","R","op","BA",1,0,1,15,0,0,104,13,0,"0","0",0,0,0,0,NA,1,0,0
"105",20190815,1,"OPV_V_BA","1-RED",1346.952,4,"op","Rop","R","op","BA",1,0,1,74,0,0,105,72,0,"0","3",0,0,0,0,NA,2,0,0
"106",20190815,1,"BPG_V_BA","1-RED",1378.212,5,"op","Rop","R","op","BA",1,0,1,23,0,0,106,21,0,"0","0",0,0,0,0,25,1,0,0
"107",20190815,1,"OPV_V_BA","1-BLUE",1393.088,5,"op","Bop","B","op","BA",0,1,1,74,0,0,107,72,0,"0","3",0,0,0,0,NA,2,0,0
"108",20190815,1,"TMG_V_BA","1-RED",1407.275,4,"op","Rop","R","op","BA",1,0,1,87,0,0,108,85,0,"1","0",0,0,0,0,NA,3,0,0
"109",20190815,1,"OVN_V_BA","1-RED",1466.666,2,"op","Rop","R","op","BA",1,0,1,78,0,0,109,76,0,"0","3",0,0,0,0,NA,1,0,0
"110",20190815,1,"BGP_V_BA","1-RED",1483.889,3,"op","Rop","R","op","BA",1,0,1,8,0,0,110,6,0,"1","2",0,0,0,0,19,1,0,0
"111",20190815,1,"PTP_V_NB","1-RED",1491.564,3,"op","Rop","R","op","BA",1,0,1,80,0,0,111,78,0,"1","3",0,0,0,0,NA,3,0,0
"112",20190815,1,"TMG_V_BA","1-RED",1526.217,6,"op","Rop","R","op","BA",1,0,1,87,0,0,112,85,0,"1","0",0,0,0,0,NA,3,0,0
"113",20190815,1,"ONP_V_BA","1-RED",1538.535,6,"op","Rop","R","op","BA",1,0,1,68,0,0,113,66,0,"1","3",0,0,0,0,NA,1,0,0
"114",20190815,1,"BOM_V_BA","1-RED",1545.105,6,"op","Rop","R","op","BA",1,0,1,19,0,0,114,17,0,"0","0",0,0,0,0,20,1,0,0
"115",20190815,1,"BPG_V_BA","1-BLUE",1574.603,5,"op","Bop","B","op","BA",0,1,1,23,0,0,115,21,0,"0","0",0,0,0,0,25,1,0,0
"116",20190815,1,"TMG_V_BA","1-RED",1589.612,5,"op","Rop","R","op","BA",1,0,1,87,0,0,116,85,0,"1","0",0,0,0,0,NA,3,0,0
"117",20190815,1,"OPV_V_BA","1-BLUE",1613.559,6,"op","Bop","B","op","BA",0,1,1,74,0,0,117,72,0,"0","3",0,0,0,0,NA,2,0,0
"118",20190815,1,"BNO_V_BA","1-RED",1634.511,4,"op","Rop","R","op","BA",1,0,1,15,0,0,118,13,0,"0","0",0,0,0,0,NA,1,0,0
"119",20190815,1,"BOM_V_BA","1-RED",1645.359,5,"op","Rop","R","op","BA",1,0,1,19,0,0,119,17,0,"0","0",0,0,0,0,20,1,0,0
"120",20190815,1,"ONP_V_BA","1-RED",1657.934,5,"op","Rop","R","op","BA",1,0,1,68,0,0,120,66,0,"1","3",0,0,0,0,NA,1,0,0
