"","id","sex","age","rank_ba","rank_cg","rank_nb","roost","tutor_red","tutor_blue"
"195","PN_V_NB","F","A",NA,NA,NA,"3",0,0
"196","TB_V_BA","F","A",NA,NA,NA,"2",0,0
"197","PTVP_V_NB",NA,NA,NA,NA,NA,"3",0,0
"198","VPO_V_NB",NA,NA,NA,NA,NA,"3",0,0
"199","OMT_V_BA","F","A",NA,NA,NA,"2",0,0
"200","GBN_V_NB",NA,NA,NA,NA,NA,"3",0,0
"201","PTN_V_NB","F","A",NA,NA,NA,"3",0,0
"202","PVO_V_NB","M",NA,NA,NA,NA,"3",0,0
"203","GNV_V_NB",NA,"J",NA,NA,NA,"3",0,0
"204","VT_V_NB",NA,NA,NA,NA,NA,"3",0,0
"205","PVG_V_NB",NA,NA,NA,NA,NA,"3",0,0
"206","OB_V_BA",NA,"J",NA,NA,NA,"2",0,0
"207","GP_V_NB",NA,NA,NA,NA,NA,"3",0,0
"208","PT_V_NB",NA,NA,NA,NA,NA,"3",0,0
"209","NB_V_MA",NA,NA,NA,NA,NA,"4",0,0
"210","ON_H_MA","F","J",NA,NA,NA,"4",0,0
"211","solving.BFD.bird",NA,NA,NA,NA,NA,"4",0,0
"212","NBG_V_MA","F","J",NA,NA,NA,"4",0,0
"213","ONO_H_MA",NA,"J",NA,NA,NA,"4",0,0
"214","OMO_H_MA",NA,NA,NA,NA,NA,"4",0,0
"215","NOP_V_MA","F","J",NA,NA,NA,"4",0,0
"216","GNB_V_NB",NA,NA,NA,NA,NA,"3",0,0
"217","OBM_H_MA","F","A",NA,NA,NA,"4",0,0
"218","OGT_H_MA",NA,"J",NA,NA,NA,"4",0,0
"219","NTG_V_MA","F","A",NA,NA,NA,"4",0,0
"220","OVO_H_MA",NA,"J",NA,NA,NA,"4",0,0
"221","ONV_H_MA",NA,NA,NA,NA,NA,"4",0,0
"222","OVM_H_MA",NA,"J",NA,NA,NA,"4",0,0
"223","NM_V_MA",NA,NA,NA,NA,NA,"4",0,0
"224","OMP_H_MA",NA,"J",NA,NA,NA,"4",0,0
"225","OTG_H_MA","","",NA,NA,NA,"4",0,0
"226","NP_V_MA","M","A",NA,NA,NA,"4",0,0
"227","OVB_H_MA",NA,"J",NA,NA,NA,"4",0,0
"228","NBM_H_MA",NA,NA,NA,NA,NA,"4",0,0
"229","OMB_H_MA","F","A",NA,NA,NA,"4",0,0
"230","OVN_H_MA",NA,NA,NA,NA,NA,"4",0,0
"231","ONM_H_MA","","",NA,NA,NA,"4",0,0
"232","OP_H_MA",NA,"J",NA,NA,NA,"4",0,0
"233","Goatie",NA,NA,NA,NA,NA,"4",0,0
"234","NO_V_MA",NA,NA,NA,NA,NA,"4",0,0
"235","OMG_H_MA",NA,"J",NA,NA,NA,"4",0,0
"236","OB_H_MA","F","A",NA,NA,NA,"4",0,0
"237","NxG_V_MA",NA,NA,NA,NA,NA,"4",0,0
"238","OGM_H_MA",NA,"J",NA,NA,NA,"4",0,0
"239","GNB_V_BA",NA,NA,NA,NA,NA,"2",0,0
"240","NG_V_MA","M","A",NA,NA,NA,"4",0,0
"241","OM_H_MA","M","J",NA,NA,NA,"4",0,0
