"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"125","20190815","1","BPG_V_BA","1-RED",1741.717,"4","op","Rop","R","op","BA"
"126","20190815","1","OPV_V_BA","1-BLUE",1753.134,"3","op","Bop","B","op","BA"
"127","20190815","1","ONP_V_BA","1-RED",1755.375,"2","op","Rop","R","op","BA"
"128","20190815","1","MTP_V_BA","1-RED",1772.399,"4","op","Rop","R","op","BA"
"129","20190815","1","PTP_V_NB","1-RED",1775.264,"4","op","Rop","R","op","BA"
"130","20190815","1","TMG_V_BA","1-RED",1827.701,"6","op","Rop","R","op","BA"
"131","20190815","1","BOM_V_BA","1-RED",1833.64,"4","op","Rop","R","op","BA"
"132","20190815","1","BGP_V_BA","1-RED",1844.948,"6","op","Rop","R","op","BA"
"133","20190815","1","ONP_V_BA","1-RED",1850.097,"5","op","Rop","R","op","BA"
"134","20190815","1","BPG_V_BA","1-RED",1856.17,"6","op","Rop","R","op","BA"
"135","20190815","1","MTP_V_BA","1-RED",1916.711,"3","op","Rop","R","op","BA"
"136","20190815","1","OMN_V_BA","1-BLUE",1925.459,"4","op","Bop","B","op","BA"
"137","20190815","1","MTP_V_BA","1-RED",1942.537,"4","drops","Rdr","R","dr","BA"
"138","20190815","1","MTP_V_BA","1-RED",1948.07,"3","op","Rop","R","op","BA"
"139","20190815","1","MTP_V_BA","1-RED",1955.086,"3","op","Rop","R","op","BA"
"140","20190815","1","ONP_V_BA","1-RED",1969.336,"3","op","Rop","R","op","BA"
"141","20190815","1","PTP_V_NB","1-RED",1980.286,"3","op","Rop","R","op","BA"
"142","20190815","1","ONP_V_BA","1-RED",2000.612,"3","op","Rop","R","op","BA"
"143","20190815","1","TMG_V_BA","1-RED",2029.483,"3","op","Rop","R","op","BA"
"144","20190815","1","BPG_V_BA","1-RED",2052.806,"3","op","Rop","R","op","BA"
"145","20190815","1","ONP_V_BA","1-RED",2055.555,"9999","op","Rop","R","op","BA"
"146","20190815","1","BOM_V_BA","1-RED",2119.557,"3","op","Rop","R","op","BA"
"147","20190815","1","118","1-RED",2121.474,NA,"op","Rop","R","op","BA"
