"","x","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout"
"2749",2749,20190825,2,"TMB_V_BA","1-RED",1602.222,3,"op","Rop","R","op","BA",1,0,1,87,0,0,2749,84,0
"2784",2784,20190921,1,"TMB_V_BA","1-RED",191.958,5,"op","Rop","R","op","BA",1,0,1,87,0,0,2784,84,0
"2824",2824,20190921,1,"TMB_V_BA","1-RED",411.932,4,"op","Rop","R","op","BA",1,0,1,87,0,0,2824,84,0
"2843",2843,20190921,1,"TMB_V_BA","1-RED",497.617,6,"op","Rop","R","op","BA",1,0,1,87,0,0,2843,84,0
"2859",2859,20190921,1,"TMB_V_BA","1-RED",574.879,6,"op","Rop","R","op","BA",1,0,1,87,0,0,2859,84,0
"2889",2889,20190921,1,"TMB_V_BA","1-RED",751.783,5,"op","Rop","R","op","BA",1,0,1,87,0,0,2889,84,0
"2913",2913,20190921,1,"TMB_V_BA","1-RED",867.004,4,"op","Rop","R","op","BA",1,0,1,87,0,0,2913,84,0
"92",92,20190815,1,"TMG_V_BA","1-RED",1122.183,6,"op","Rop","R","op","BA",1,0,1,88,0,0,92,85,0
"108",108,20190815,1,"TMG_V_BA","1-RED",1407.275,4,"op","Rop","R","op","BA",1,0,1,88,0,0,108,85,0
"112",112,20190815,1,"TMG_V_BA","1-RED",1526.217,6,"op","Rop","R","op","BA",1,0,1,88,0,0,112,85,0
"116",116,20190815,1,"TMG_V_BA","1-RED",1589.612,5,"op","Rop","R","op","BA",1,0,1,88,0,0,116,85,0
"121",121,20190815,1,"TMG_V_BA","1-RED",1669.618,3,"op","Rop","R","op","BA",1,0,1,88,0,0,121,85,0
"124",124,20190815,1,"TMG_V_BA","1-RED",1720.46,4,"op","Rop","R","op","BA",1,0,1,88,0,0,124,85,0
"130",130,20190815,1,"TMG_V_BA","1-RED",1827.701,6,"op","Rop","R","op","BA",1,0,1,88,0,0,130,85,0
"143",143,20190815,1,"TMG_V_BA","1-RED",2029.483,3,"op","Rop","R","op","BA",1,0,1,88,0,0,143,85,0
"182",182,20190815,1,"TMG_V_BA","1-RED",3522.243,2,"op","Rop","R","op","BA",1,0,1,88,0,0,182,85,0
"186",186,20190815,1,"TMG_V_BA","1-BLUE",3595.171,4,"op","Bop","B","op","BA",0,1,1,88,0,0,186,85,0
"194",194,20190815,1,"TMG_V_BA","1-RED",3691.009,1,"op","Rop","R","op","BA",1,0,1,88,0,0,194,85,0
